Halo Number,t_eps_pt5,t_eps_pt3
1,0.0337243718735154,1.7435705743308647
2,0.7574413726158526,1.6666695561144653
3,0.6446418406845371,0.8514709006246495
4,0.009521666967944764,0.009521666967944764
5,0.3999269646135635,0.524565820433923
6,0.8514709006246495,1.6042345220731056
7,0.009521666967944764,0.3478538418581776
8,0.32882972420595435,1.5312390291576135
9,0.524565820433923,1.1141505637653806
10,1.2062580807810006,2.0020281392528516
11,0.7574413726158526,1.2484726142451428
12,0.31007412012783386,0.7574413726158526
13,0.5985432881875667,1.1546027123602154
14,0.3478538418581776,0.4609177941806475
15,0.2733533465784399,0.4609177941806475
16,1.074457894547674,2.3161107439568918
17,2.1032696525957713,4.176834914726472
18,2.207925472383703,2.8957850057274284
19,0.009521666967944764,0.5759808451078874
20,0.009521666967944764,0.19728418237600986
21,0.6214287452425136,2.0020281392528516
22,1.2484726142451428,1.6042345220731056
23,1.1141505637653806,1.7435705743308647
24,0.8167099790118506,1.5312390291576135
25,1.3023784599059653,1.6042345220731056
26,0.7574413726158526,0.9505313515850327
27,0.7001063537185233,0.8868969375752482
28,0.009521666967944764,0.38016786726023866
29,1.4719748452657977,2.0020281392528516
30,0.023974428382762536,0.38016786726023866
